currency;rate;effective_date;month;year
EUR;0.89;01 Mar 2022;3;2022
EUR;0.896;01 Feb 2022;2;2022
EUR;0.881;31 Dec 2021;1;2022
EUR;0.888;01 Dec 2021;12;2021
EUR;0.858;01/11/2021;11;2021
EUR;0.86;01/10/2021;10;2021
EUR;0.848;01 Sep 2021;9;2021
EUR;0.841;01 Aug 2021;8;2021
EUR;0.838;30 Jun 2021;7;2021
EUR;0.82;01 Jun 2021;6;2021
EUR;0.826;01 May 2021;5;2021
EUR;0.853;01 Apr 2021;4;2021
EUR;0.817;01 Mar 2021;3;2021
EUR;0.824;01 Feb 2021;2;2021
EUR;0.815;31 Dec 2020;1;2021
EUR;0.837;01 Dec 2020;12;2020
EUR;0.855;01/11/2020;11;2020
EUR;0.852;01/10/2020;10;2020
EUR;0.842;01 Sep 2020;9;2020
EUR;0.85;01 Aug 2020;8;2020
EUR;0.893;30 Jun 2020;7;2020
EUR;0.906;01 Jun 2020;6;2020
EUR;0.921;01 May 2020;5;2020
EUR;0.906;01 Apr 2020;4;2020
EUR;0.91;01 Mar 2020;3;2020
EUR;0.907;01 Feb 2020;2;2020
EUR;0.896;31 Dec 2019;1;2020
EUR;0.909;01 Dec 2019;12;2019
EUR;0.9;01/11/2019;11;2019
EUR;0.914;01/10/2019;10;2019
EUR;0.904;01 Sep 2019;9;2019
EUR;0.897;01 Aug 2019;8;2019
EUR;0.88;30 Jun 2019;7;2019
EUR;0.899;01 Jun 2019;6;2019
EUR;0.897;01 May 2019;5;2019
EUR;0.891;01 Apr 2019;4;2019
EUR;0.879;01 Mar 2019;3;2019
EUR;0.876;01 Feb 2019;2;2019
EUR;0.876;31 Dec 2018;1;2019
EUR;0.879;01 Dec 2018;12;2018
EUR;0.88;01/11/2018;11;2018
EUR;0.855;01/10/2018;10;2018
EUR;0.858;01 Sep 2018;9;2018
EUR;0.854;01 Aug 2018;8;2018
EUR;0.864;30 Jun 2018;7;2018
EUR;0.861;01 Jun 2018;6;2018
EUR;0.828;01 May 2018;5;2018
EUR;0.81;01 Apr 2018;4;2018
EUR;0.815;01 Mar 2018;3;2018
EUR;0.805;01 Feb 2018;2;2018
EUR;0.837;31 Dec 2017;1;2018
EUR;0.844;01-déc-17;12;2017
EUR;0.861;01-nov-17;11;2017
EUR;0.848;01-oct-17;10;2017
EUR;0.832;01-sept-17;9;2017
EUR;0.85;01-août-17;8;2017
EUR;0.879;30-juin-17;7;2017
EUR;0.893;01-juin-17;6;2017
EUR;0.921;01-mai-17;5;2017
EUR;0.931;01-avr-17;4;2017
EUR;0.943;01-mars-17;3;2017
EUR;0.937;01-févr-17;2;2017
EUR;0.956;31-déc-16;1;2017
EUR;0.942;01-déc-16;12;2016
EUR;0.915;01-nov-16;11;2016
EUR;0.892;01-oct-16;10;2016
EUR;0.897;01-sept-16;9;2016
EUR;0.901;01-août-16;8;2016
EUR;0.904;30-juin-16;7;2016
EUR;0.897;01-juin-16;6;2016
EUR;0.882;01-mai-16;5;2016
EUR;0.883;01-avr-16;4;2016
EUR;0.912;01-mars-16;3;2016
EUR;0.915;01-févr-16;2;2016
EUR;0.914;31-déc-15;1;2016
EUR;0.945;01-déc-15;12;2015
EUR;0.912;01-nov-15;11;2015
EUR;0.891;01-oct-15;10;2015
EUR;0.889;01-sept-15;9;2015
EUR;0.915;01-août-15;8;2015
EUR;0.894;30-juin-15;7;2015
EUR;0.918;01-juin-15;6;2015
EUR;0.904;01-mai-15;5;2015
EUR;0.923;01-avr-15;4;2015
EUR;0.891;01-mars-15;3;2015
EUR;0.882;01-févr-15;2;2015
EUR;0.82;31-déc-14;1;2015
EUR;0.799;01-déc-14;12;2014
EUR;0.793;01-nov-14;11;2014
EUR;0.787;01-oct-14;10;2014
EUR;0.759;01-sept-14;9;2014
EUR;0.748;01-août-14;8;2014
EUR;0.736;30-juin-14;7;2014
EUR;0.735;01-juin-14;6;2014
EUR;0.723;01-mai-14;5;2014
EUR;0.727;01-avr-14;4;2014
EUR;0.731;01-mars-14;3;2014
EUR;0.737;01-févr-14;2;2014
EUR;0.725;31-déc-13;1;2014
EUR;0.736;01-déc-13;12;2013
EUR;0.726;01-nov-13;11;2013
EUR;0.737;01-oct-13;10;2013
EUR;0.755;01-sept-13;9;2013
EUR;0.754;01-août-13;8;2013
EUR;0.767;01-juin-13;7;2013
EUR;0.767;01-juin-13;6;2013
EUR;0.764;01-mai-13;5;2013
EUR;0.783;01-avr-13;4;2013
EUR;0.764;01-mars-13;3;2013
EUR;0.737;01-févr-13;2;2013
EUR;0.754;31-déc-12;1;2013
EUR;0.77;01-déc-12;12;2012
EUR;0.772;02-nov-12;11;2012
EUR;0.777;01-oct-12;10;2012
EUR;0.797;01-sept-12;9;2012
EUR;0.816;01-août-12;8;2012
EUR;0.804;30-juin-12;7;2012
EUR;0.805;01-juin-12;6;2012
EUR;0.755;01-mai-12;5;2012
EUR;0.753;01-avr-12;4;2012
EUR;0.746;01-mars-12;3;2012
EUR;0.763;01-févr-12;2;2012
EUR;0.774;31-déc-11;1;2012
